企业代号,销方单位代号,销方单位代号
E1,A01526,1
E1,A01621,1
E1,A01691,1
E1,A01706,1
E1,A01709,1
E1,A01772,1
E1,A01786,1
E1,A01798,1
E1,A01827,1
E1,A01830,1
E1,A01844,1
E1,A01868,1
E1,A01910,1
E1,A01912,1
E1,A01915,1
E1,A01927,1
E1,A01940,1
E1,A02016,1
E1,A02096,1
E1,A02205,1
E1,A02260,1
E1,A02274,1
E1,A02318,1
E1,A02383,1
E1,A02531,1
E1,A02558,1
E1,A02629,1
E1,A02819,1
E1,A02832,1
E1,A02860,1
E1,A02980,1
E1,A03046,1
E1,A03100,1
E1,A03126,1
E1,A03149,1
E1,A03257,1
E1,A03265,1
E1,A03279,1
E1,A03318,1
E1,A03325,1
E1,A03377,1
E1,A03391,1
E1,A03457,1
E1,A03533,1
E1,A03609,1
E1,A03690,1
E1,A03740,1
E1,A03775,1
E1,A03811,1
E1,A03914,1
E1,A04562,1
E1,A04610,1
E1,A04619,1
E1,A05061,1
E1,A05246,1
E1,A05312,1
E1,A05396,1
E1,A05405,1
E1,A05409,1
E1,A05441,1
E1,A05512,1
E1,A05537,1
E1,A05546,1
E1,A05548,1
E1,A05622,1
E1,A05624,1
E1,A05630,1
E1,A05814,1
E1,A05824,1
E1,A05909,1
E1,A05994,1
E1,A06140,1
E1,A06153,1
E1,A06206,1
E1,A06254,1
E1,A06265,1
E1,A06275,1
E1,A06314,1
E1,A06330,1
E1,A06369,1
E1,A06386,1
E1,A06514,1
E1,A06515,1
E1,A06545,1
E1,A06590,1
E1,A06623,1
E1,A06641,1
E1,A06652,1
E1,A06721,1
E1,A06740,1
E1,A06750,1
E1,A06770,1
E1,A06779,1
E1,A06785,1
E1,A06788,1
E1,A06793,1
E1,A06828,1
E1,A06858,1
E1,A06870,1
E1,A06877,1
E1,A06993,1
E1,A06999,1
E1,A07012,1
E1,A07053,1
E1,A07116,1
E1,A07133,1
E1,A07234,1
E1,A07315,1
E1,A07368,1
E1,A07375,1
E1,A07399,1
E1,A07413,1
E1,A07427,1
E1,A07448,1
E1,A07461,1
E1,A07481,1
E1,A07483,1
E1,A07495,1
E1,A07577,1
E1,A07586,1
E1,A07608,1
E1,A07643,1
E1,A07687,1
E1,A07690,1
E1,A07727,1
E1,A07733,1
E1,A07843,1
E1,A07899,1
E1,A07938,1
E1,A08004,1
E1,A08074,1
E1,A08166,1
E1,A08173,1
E1,A08274,1
E1,A08318,1
E1,A08363,1
E1,A08480,1
E1,A08485,1
E1,A08594,1
E1,A08704,1
E1,A08728,1
E1,A08740,1
E1,A08745,1
E1,A08808,1
E1,A08904,1
E1,A08918,1
E1,A08944,1
E1,A08948,1
E1,A08976,1
E1,A09015,1
E1,A09022,1
E1,A09195,1
E1,A09292,1
E1,A09330,1
E1,A09407,1
E1,A09460,1
E1,A09515,1
E1,A09546,1
E1,A09673,1
E1,A09875,1
E1,A09929,1
E1,A09964,1
E1,A10050,1
E1,A10053,1
E1,A10063,1
E1,A10104,1
E1,A10133,1
E1,A10169,1
E1,A10170,1
E1,A10172,1
E1,A10178,1
E1,A10815,1
E1,A10819,1
E1,A10883,1
E1,A11134,1
E1,A11177,1
E1,A11277,1
E1,A11288,1
E1,A11336,1
E1,A11349,1
E1,A11437,1
E1,A11451,1
E1,A11466,1
E1,A11515,1
E1,A11527,1
E1,A11689,1
E1,A11795,1
E1,A11961,1
E1,A12130,1
E1,A12183,1
E1,A12492,1
E1,A12500,1
E1,A12711,1
E1,A12752,1
E1,A12994,1
E1,A13104,1
E1,A13144,1
E1,A13160,1
E1,A13161,1
E1,A13163,1
E1,A13391,1
E1,A13400,1
E1,A13405,1
E1,A13416,1
E1,A13455,1
E1,A13469,1
E1,A13589,1
E1,A13702,1
E1,A13737,1
E1,A13747,1
E1,A13770,1
E1,A13775,1
E1,A13776,1
E1,A13787,1
E1,A13789,1
E1,A13796,1
E1,A13800,1
E1,A13820,1
E1,A13831,1
E1,A13836,1
E1,A13845,1
E1,A13870,1
E1,A13878,1
E1,A13881,1
E1,A13887,1
E1,A13894,1
E10,A00370,442
E10,A12807,243
E10,A13116,106
E10,A05891,100
E10,A13655,97
E10,A06451,88
E10,A06204,75
E10,A11259,58
E10,A12855,54
E10,A12791,48
E10,A12844,46
E10,A06470,42
E10,A03889,40
E10,A09920,39
E10,A12815,33
E10,A00613,30
E10,A00356,29
E10,A08236,29
E10,A08646,27
E10,A04897,25
E10,A00604,24
E10,A10956,24
E10,A07483,22
E10,A13686,22
E10,A04793,21
E10,A04887,21
E10,A06374,21
E10,A07242,21
E10,A02282,20
E10,A07368,20
E10,A08740,20
E10,A13557,20
E10,A05430,19
E10,A06673,19
E10,A13197,19
E10,A06255,18
E10,A07555,18
E10,A13157,18
E10,A03145,17
E10,A06372,17
E10,A06961,17
E10,A07333,17
E10,A08022,17
E10,A08420,16
E10,A13538,16
E10,A03622,15
E10,A07756,15
E10,A08412,15
E10,A08477,15
E10,A10617,15
E10,A11531,15
E10,A01269,14
E10,A07171,14
E10,A08208,14
E10,A03310,13
E10,A09703,13
E10,A02382,12
E10,A03873,12
E10,A04697,12
E10,A09182,12
E10,A09957,12
E10,A00327,11
E10,A01005,11
E10,A02706,11
E10,A03909,11
E10,A07643,11
E10,A08316,11
E10,A04771,10
E10,A06342,10
E10,A06626,10
E10,A06657,10
E10,A06988,10
E10,A07012,10
E10,A07335,10
E10,A07446,10
E10,A07528,10
E10,A09237,10
E10,A12348,10
E10,A02008,9
E10,A02516,9
E10,A04847,9
E10,A04853,9
E10,A12854,9
E10,A13670,9
E10,A06987,8
E10,A07093,8
E10,A07234,8
E10,A07313,8
E10,A07850,8
E10,A02083,7
E10,A06231,7
E10,A06276,7
E10,A06749,7
E10,A06909,7
E10,A07340,7
E10,A07735,7
E10,A09013,7
E10,A10909,7
E10,A12340,7
E10,A00678,6
E10,A00884,6
E10,A01037,6
E10,A01045,6
E10,A01205,6
E10,A02009,6
E10,A03346,6
E10,A04615,6
E10,A04630,6
E10,A06506,6
E10,A06667,6
E10,A07099,6
E10,A07104,6
E10,A07532,6
E10,A07569,6
E10,A07678,6
E10,A07925,6
E10,A09350,6
E10,A11163,6
E10,A11451,6
E10,A12328,6
E10,A12790,6
E10,A12846,6
E10,A13751,6
E10,A00697,5
E10,A01900,5
E10,A02027,5
E10,A02054,5
E10,A02845,5
E10,A04161,5
E10,A04635,5
E10,A04845,5
E10,A05449,5
E10,A05846,5
E10,A06303,5
E10,A06835,5
E10,A06916,5
E10,A07338,5
E10,A07541,5
E10,A08027,5
E10,A08431,5
E10,A08436,5
E10,A08816,5
E10,A08849,5
E10,A09256,5
E10,A09269,5
E10,A09490,5
E10,A10461,5
E10,A10626,5
E10,A10844,5
E10,A11576,5
E10,A12333,5
E10,A12827,5
E10,A01014,4
E10,A01069,4
E10,A02035,4
E10,A02955,4
E10,A02956,4
E10,A03116,4
E10,A03138,4
E10,A03934,4
E10,A04120,4
E10,A04343,4
E10,A04706,4
E10,A04727,4
E10,A04769,4
E10,A04878,4
E10,A05137,4
E10,A05995,4
E10,A06319,4
E10,A06959,4
E10,A07087,4
E10,A07445,4
E10,A07448,4
E10,A07722,4
E10,A07768,4
E10,A08037,4
E10,A08446,4
E10,A08449,4
E10,A08515,4
E10,A09180,4
E10,A09508,4
E10,A09559,4
E10,A09936,4
E10,A11273,4
E10,A12357,4
E10,A12744,4
E10,A12745,4
E10,A12829,4
E10,A12840,4
E10,A13151,4
E10,A13694,4
E10,A00620,3
E10,A00679,3
E10,A00894,3
E10,A01413,3
E10,A02032,3
E10,A02193,3
E10,A03319,3
E10,A04544,3
E10,A04691,3
E10,A04728,3
E10,A04755,3
E10,A04805,3
E10,A04859,3
E10,A04867,3
E10,A04873,3
E10,A05161,3
E10,A05444,3
E10,A05773,3
E10,A05781,3
E10,A05790,3
E10,A05804,3
E10,A06117,3
E10,A06265,3
E10,A06473,3
E10,A06602,3
E10,A06641,3
E10,A06718,3
E10,A07256,3
E10,A07334,3
E10,A07372,3
E10,A07447,3
E10,A07505,3
E10,A07755,3
E10,A07838,3
E10,A07921,3
E10,A07970,3
E10,A08031,3
E10,A08366,3
E10,A08435,3
E10,A08622,3
E10,A08698,3
E10,A08736,3
E10,A09372,3
E10,A09525,3
E10,A09948,3
E10,A10030,3
E10,A11020,3
E10,A11104,3
E10,A11380,3
E10,A11387,3
E10,A12819,3
E10,A12847,3
E10,A12852,3
E10,A12968,3
E10,A00003,2
E10,A00197,2
E10,A00597,2
E10,A00704,2
E10,A00854,2
E10,A00883,2
E10,A01105,2
E10,A01111,2
E10,A01369,2
E10,A01529,2
E10,A01603,2
E10,A01714,2
E10,A01775,2
E10,A02052,2
E10,A02333,2
E10,A02334,2
E10,A02458,2
E10,A02539,2
E10,A02585,2
E10,A02597,2
E10,A02709,2
E10,A02731,2
E10,A02760,2
E10,A02812,2
E10,A02832,2
E10,A02885,2
E10,A02895,2
E10,A02953,2
E10,A03031,2
E10,A03239,2
E10,A03325,2
E10,A03388,2
E10,A03582,2
E10,A03626,2
E10,A03733,2
E10,A03804,2
E10,A03832,2
E10,A03858,2
E10,A03933,2
E10,A04124,2
E10,A04163,2
E10,A04616,2
E10,A04617,2
E10,A04674,2
E10,A04676,2
E10,A04687,2
E10,A04690,2
E10,A04764,2
E10,A04773,2
E10,A04781,2
E10,A04790,2
E10,A04814,2
E10,A04839,2
E10,A05056,2
E10,A05143,2
E10,A05190,2
E10,A05470,2
E10,A05768,2
E10,A05811,2
E10,A05855,2
E10,A05905,2
E10,A05964,2
E10,A06102,2
E10,A06107,2
E10,A06247,2
E10,A06266,2
E10,A06282,2
E10,A06297,2
E10,A06310,2
E10,A06320,2
E10,A06430,2
E10,A06516,2
E10,A06519,2
E10,A06549,2
E10,A06557,2
E10,A06589,2
E10,A06608,2
E10,A06720,2
E10,A06740,2
E10,A06745,2
E10,A06785,2
E10,A06833,2
E10,A06910,2
E10,A06915,2
E10,A07053,2
E10,A07057,2
E10,A07164,2
E10,A07193,2
E10,A07391,2
E10,A07420,2
E10,A07459,2
E10,A07481,2
E10,A07548,2
E10,A07551,2
E10,A07604,2
E10,A07619,2
E10,A07684,2
E10,A07769,2
E10,A07907,2
E10,A08462,2
E10,A08643,2
E10,A08648,2
E10,A08652,2
E10,A08658,2
E10,A08711,2
E10,A08773,2
E10,A08899,2
E10,A08927,2
E10,A08930,2
E10,A08939,2
E10,A09004,2
E10,A09046,2
E10,A09184,2
E10,A09200,2
E10,A09222,2
E10,A09252,2
E10,A09418,2
E10,A09549,2
E10,A09718,2
E10,A09837,2
E10,A09965,2
E10,A10031,2
E10,A10051,2
E10,A10574,2
E10,A10657,2
E10,A10698,2
E10,A10842,2
E10,A10916,2
E10,A11105,2
E10,A11296,2
E10,A11355,2
E10,A11411,2
E10,A11428,2
E10,A11501,2
E10,A11568,2
E10,A11884,2
E10,A11976,2
E10,A12050,2
E10,A12096,2
E10,A12317,2
E10,A12329,2
E10,A12347,2
E10,A12597,2
E10,A12600,2
E10,A12721,2
E10,A12724,2
E10,A12798,2
E10,A12822,2
E10,A12825,2
E10,A12849,2
E10,A12850,2
E10,A13288,2
E10,A13394,2
E10,A13547,2
E10,A13571,2
E10,A13617,2
E10,A13688,2
E10,A13791,2
E10,A13863,2
E10,A13876,2
E10,A00031,1
E10,A00037,1
E10,A00040,1
E10,A00052,1
E10,A00209,1
E10,A00318,1
E10,A00378,1
E10,A00391,1
E10,A00449,1
E10,A00470,1
E10,A00521,1
E10,A00531,1
E10,A00540,1
E10,A00544,1
E10,A00561,1
E10,A00562,1
E10,A00589,1
E10,A00592,1
E10,A00607,1
E10,A00610,1
E10,A00611,1
E10,A00614,1
E10,A00615,1
E10,A00616,1
E10,A00618,1
E10,A00619,1
E10,A00672,1
E10,A00681,1
E10,A00701,1
E10,A00723,1
E10,A00738,1
E10,A00757,1
E10,A00876,1
E10,A00882,1
E10,A00895,1
E10,A00896,1
E10,A00898,1
E10,A00907,1
E10,A00981,1
E10,A00987,1
E10,A01009,1
E10,A01013,1
E10,A01026,1
E10,A01114,1
E10,A01208,1
E10,A01229,1
E10,A01234,1
E10,A01277,1
E10,A01380,1
E10,A01392,1
E10,A01415,1
E10,A01498,1
E10,A01557,1
E10,A01582,1
E10,A01622,1
E10,A01681,1
E10,A01688,1
E10,A01743,1
E10,A01746,1
E10,A01895,1
E10,A01896,1
E10,A01901,1
E10,A01947,1
E10,A01997,1
E10,A02015,1
E10,A02039,1
E10,A02058,1
E10,A02087,1
E10,A02149,1
E10,A02210,1
E10,A02230,1
E10,A02260,1
E10,A02274,1
E10,A02284,1
E10,A02315,1
E10,A02332,1
E10,A02388,1
E10,A02573,1
E10,A02645,1
E10,A02683,1
E10,A02712,1
E10,A02761,1
E10,A02772,1
E10,A02819,1
E10,A02836,1
E10,A02893,1
E10,A02913,1
E10,A02948,1
E10,A02954,1
E10,A02971,1
E10,A03019,1
E10,A03135,1
E10,A03160,1
E10,A03162,1
E10,A03186,1
E10,A03203,1
E10,A03223,1
E10,A03235,1
E10,A03288,1
E10,A03289,1
E10,A03318,1
E10,A03393,1
E10,A03440,1
E10,A03481,1
E10,A03583,1
E10,A03615,1
E10,A03657,1
E10,A03679,1
E10,A03696,1
E10,A03699,1
E10,A03794,1
E10,A03795,1
E10,A03802,1
E10,A03811,1
E10,A03834,1
E10,A03845,1
E10,A04162,1
E10,A04267,1
E10,A04419,1
E10,A04556,1
E10,A04560,1
E10,A04584,1
E10,A04590,1
E10,A04624,1
E10,A04640,1
E10,A04643,1
E10,A04658,1
E10,A04666,1
E10,A04684,1
E10,A04689,1
E10,A04693,1
E10,A04694,1
E10,A04710,1
E10,A04714,1
E10,A04719,1
E10,A04721,1
E10,A04722,1
E10,A04730,1
E10,A04735,1
E10,A04748,1
E10,A04750,1
E10,A04767,1
E10,A04774,1
E10,A04802,1
E10,A04803,1
E10,A04817,1
E10,A04829,1
E10,A04837,1
E10,A04838,1
E10,A04846,1
E10,A04848,1
E10,A04854,1
E10,A04857,1
E10,A04889,1
E10,A04890,1
E10,A04894,1
E10,A04949,1
E10,A05026,1
E10,A05042,1
E10,A05067,1
E10,A05105,1
E10,A05388,1
E10,A05392,1
E10,A05399,1
E10,A05428,1
E10,A05445,1
E10,A05464,1
E10,A05471,1
E10,A05491,1
E10,A05615,1
E10,A05725,1
E10,A05764,1
E10,A05774,1
E10,A05798,1
E10,A05839,1
E10,A05847,1
E10,A05850,1
E10,A05854,1
E10,A05889,1
E10,A05949,1
E10,A05953,1
E10,A05954,1
E10,A05955,1
E10,A05956,1
E10,A05957,1
E10,A05977,1
E10,A06082,1
E10,A06131,1
E10,A06135,1
E10,A06138,1
E10,A06147,1
E10,A06157,1
E10,A06177,1
E10,A06182,1
E10,A06226,1
E10,A06258,1
E10,A06287,1
E10,A06312,1
E10,A06332,1
E10,A06352,1
E10,A06354,1
E10,A06362,1
E10,A06370,1
E10,A06419,1
E10,A06442,1
E10,A06454,1
E10,A06479,1
E10,A06490,1
E10,A06568,1
E10,A06595,1
E10,A06609,1
E10,A06623,1
E10,A06634,1
E10,A06664,1
E10,A06676,1
E10,A06683,1
E10,A06691,1
E10,A06779,1
E10,A06789,1
E10,A06790,1
E10,A06795,1
E10,A06829,1
E10,A06871,1
E10,A06878,1
E10,A06886,1
E10,A06888,1
E10,A06928,1
E10,A06936,1
E10,A06968,1
E10,A06999,1
E10,A07001,1
E10,A07005,1
E10,A07024,1
E10,A07090,1
E10,A07106,1
E10,A07109,1
E10,A07136,1
E10,A07141,1
E10,A07162,1
E10,A07200,1
E10,A07212,1
E10,A07240,1
E10,A07302,1
E10,A07366,1
E10,A07381,1
E10,A07419,1
E10,A07454,1
E10,A07455,1
E10,A07488,1
E10,A07508,1
E10,A07539,1
E10,A07556,1
E10,A07567,1
E10,A07581,1
E10,A07584,1
E10,A07589,1
E10,A07593,1
E10,A07612,1
E10,A07620,1
E10,A07645,1
E10,A07654,1
E10,A07657,1
E10,A07675,1
E10,A07729,1
E10,A07730,1
E10,A07731,1
E10,A07753,1
E10,A07766,1
E10,A07773,1
E10,A07818,1
E10,A07896,1
E10,A07911,1
E10,A07965,1
E10,A07994,1
E10,A08069,1
E10,A08080,1
E10,A08083,1
E10,A08187,1
E10,A08204,1
E10,A08209,1
E10,A08226,1
E10,A08233,1
E10,A08245,1
E10,A08249,1
E10,A08256,1
E10,A08267,1
E10,A08284,1
E10,A08302,1
E10,A08326,1
E10,A08329,1
E10,A08332,1
E10,A08388,1
E10,A08401,1
E10,A08415,1
E10,A08418,1
E10,A08428,1
E10,A08442,1
E10,A08455,1
E10,A08511,1
E10,A08568,1
E10,A08621,1
E10,A08724,1
E10,A08744,1
E10,A08762,1
E10,A08824,1
E10,A08835,1
E10,A08892,1
E10,A08895,1
E10,A08922,1
E10,A08926,1
E10,A08983,1
E10,A09002,1
E10,A09022,1
E10,A09057,1
E10,A09066,1
E10,A09131,1
E10,A09141,1
E10,A09147,1
E10,A09161,1
E10,A09175,1
E10,A09183,1
E10,A09274,1
E10,A09290,1
E10,A09291,1
E10,A09406,1
E10,A09417,1
E10,A09430,1
E10,A09475,1
E10,A09483,1
E10,A09500,1
E10,A09501,1
E10,A09533,1
E10,A09534,1
E10,A09546,1
E10,A09551,1
E10,A09561,1
E10,A09599,1
E10,A09629,1
E10,A09648,1
E10,A09656,1
E10,A09714,1
E10,A09766,1
E10,A09801,1
E10,A09895,1
E10,A09967,1
E10,A09968,1
E10,A09988,1
E10,A10133,1
E10,A10191,1
E10,A10202,1
E10,A10208,1
E10,A10230,1
E10,A10319,1
E10,A10354,1
E10,A10361,1
E10,A10365,1
E10,A10385,1
E10,A10470,1
E10,A10479,1
E10,A10791,1
E10,A10853,1
E10,A10874,1
E10,A10957,1
E10,A10961,1
E10,A11133,1
E10,A11134,1
E10,A11152,1
E10,A11159,1
E10,A11171,1
E10,A11189,1
E10,A11190,1
E10,A11192,1
E10,A11194,1
E10,A11197,1
E10,A11215,1
E10,A11218,1
E10,A11280,1
E10,A11389,1
E10,A11400,1
E10,A11407,1
E10,A11427,1
E10,A11454,1
E10,A11459,1
E10,A11497,1
E10,A11508,1
E10,A11536,1
E10,A11540,1
E10,A11554,1
E10,A11557,1
E10,A11588,1
E10,A11592,1
E10,A11600,1
E10,A11612,1
E10,A11684,1
E10,A11709,1
E10,A11720,1
E10,A11748,1
E10,A11755,1
E10,A11792,1
E10,A11814,1
E10,A11853,1
E10,A11983,1
E10,A11987,1
E10,A12011,1
E10,A12090,1
E10,A12091,1
E10,A12130,1
E10,A12150,1
E10,A12204,1
E10,A12230,1
E10,A12325,1
E10,A12338,1
E10,A12339,1
E10,A12342,1
E10,A12350,1
E10,A12352,1
E10,A12356,1
E10,A12358,1
E10,A12360,1
E10,A12559,1
E10,A12564,1
E10,A12658,1
E10,A12710,1
E10,A12714,1
E10,A12733,1
E10,A12734,1
E10,A12761,1
E10,A12772,1
E10,A12794,1
E10,A12803,1
E10,A12806,1
E10,A12812,1
E10,A12816,1
E10,A12826,1
E10,A12834,1
E10,A12851,1
E10,A12861,1
E10,A12871,1
E10,A12901,1
E10,A12903,1
E10,A12919,1
E10,A12926,1
E10,A12942,1
E10,A12967,1
E10,A12984,1
E10,A12985,1
E10,A12987,1
E10,A13001,1
E10,A13032,1
E10,A13068,1
E10,A13069,1
E10,A13080,1
E10,A13130,1
E10,A13154,1
E10,A13159,1
E10,A13201,1
E10,A13204,1
E10,A13212,1
E10,A13344,1
E10,A13363,1
E10,A13386,1
E10,A13391,1
E10,A13405,1
E10,A13444,1
E10,A13495,1
E10,A13540,1
E10,A13558,1
E10,A13589,1
E10,A13590,1
E10,A13675,1
E10,A13677,1
E10,A13691,1
E10,A13747,1
E10,A13794,1
E10,A13844,1
E10,A13882,1
E10,A13908,1
E100,A07368,21
E100,A00628,6
E100,A06204,4
E100,A05891,3
E100,A07359,3
E100,A00627,2
E100,A03337,2
E100,A03626,2
E100,A06468,2
E100,A09241,2
E100,A00370,1
E100,A02415,1
E100,A03037,1
E100,A03894,1
E100,A06275,1
E100,A07242,1
E100,A09512,1
E100,A13197,1
E100,A13557,1
E100,A13574,1
E100,A13955,1
E101,A07242,10
E101,A03626,2
E101,A00370,1
E101,A02272,1
E101,A06918,1
E101,A07313,1
E102,A03796,75
E102,A03095,67
E102,A03325,67
E102,A02314,47
E102,A02461,46
E102,A02549,45
E102,A03310,25
E102,A02938,24
E102,A08967,23
E102,A02960,20
E102,A02982,17
E102,A03521,17
E102,A07302,16
E102,A07681,16
E102,A03530,15
E102,A02243,11
E102,A03172,11
E102,A08973,11
E102,A02761,9
E102,A03826,9
E102,A06470,9
E102,A02312,8
E102,A06824,8
E102,A02418,7
E102,A06534,7
E102,A02451,6
E102,A02657,6
E102,A02303,5
E102,A02425,5
E102,A02432,5
E102,A02695,5
E102,A03117,5
E102,A03517,5
E102,A03916,5
E102,A07242,5
E102,A03624,4
E102,A08761,4
E102,A01648,3
E102,A02654,3
E102,A02858,3
E102,A03069,3
E102,A03177,3
E102,A07368,3
E102,A00932,2
E102,A02566,2
E102,A02606,2
E102,A02607,2
E102,A02666,2
E102,A03056,2
E102,A03586,2
E102,A03626,2
E102,A03724,2
E102,A06821,2
E102,A06850,2
E102,A07030,2
E102,A07636,2
E102,A08865,2
E102,A09173,2
E102,A02229,1
E102,A02465,1
E102,A02590,1
E102,A02774,1
E102,A03007,1
E102,A03119,1
E102,A03180,1
E102,A03795,1
E102,A06679,1
E102,A07051,1
E102,A13956,1
E102,A13957,1
E103,A06470,34
E103,A01205,11
E103,A03450,11
E103,A03872,7
E103,A07242,7
E103,A00370,6
E103,A03889,5
E103,A06608,4
E103,A07823,4
E103,A09512,4
E103,A13197,4
E103,A02210,3
E103,A07526,3
E103,A07633,3
E103,A08652,3
E103,A13328,3
E103,A01304,2
E103,A02457,2
E103,A03626,2
E103,A03645,2
E103,A06264,2
E103,A06361,2
E103,A07136,2
E103,A08134,2
E103,A11976,2
E103,A13116,2
E103,A00902,1
E103,A00908,1
E103,A01335,1
E103,A02054,1
E103,A02272,1
E103,A02558,1
E103,A03114,1
E103,A03325,1
E103,A03624,1
E103,A03665,1
E103,A03676,1
E103,A03770,1
E103,A03944,1
E103,A06038,1
E103,A06204,1
E103,A06352,1
E103,A06437,1
E103,A06648,1
E103,A06721,1
E103,A07004,1
E103,A07012,1
E103,A07313,1
E103,A07368,1
E103,A07480,1
E103,A07508,1
E103,A07647,1
E103,A07758,1
E103,A07808,1
E103,A08000,1
E103,A08054,1
E103,A08395,1
E103,A08672,1
E103,A08906,1
E103,A08975,1
E103,A09348,1
E103,A09920,1
E103,A11163,1
E103,A11411,1
E103,A11464,1
E103,A11898,1
E104,A09184,1
E105,A02502,2
E105,A03290,2
E105,A06042,1
E105,A06062,1
E106,A03059,5
E106,A03668,5
E106,A03626,3
E106,A06204,3
E106,A06470,3
E106,A13587,3
E106,A13197,2
E106,A01508,1
E106,A05825,1
E106,A05891,1
E106,A07262,1
E106,A08804,1
E106,A08855,1
E106,A09920,1
E106,A10133,1
E106,A11530,1
E106,A12791,1
E106,A13557,1
E106,A13655,1
E107,A02945,2
E107,A03626,2
E107,A00743,1
E107,A02274,1
E107,A03114,1
E107,A03624,1
E107,A06636,1
E108,A06470,43
E108,A08507,18
E108,A00748,11
E108,A09920,9
E108,A13116,9
E108,A08275,8
E108,A07313,5
E108,A13557,5
E108,A01205,4
E108,A02980,4
E108,A04791,4
E108,A06941,4
E108,A07157,4
E108,A08652,4
E108,A09425,4
E108,A10173,4
E108,A10175,4
E108,A10177,4
E108,A10614,4
E108,A04617,3
E108,A06420,3
E108,A13238,3
E108,A06374,2
E108,A06407,2
E108,A07302,2
E108,A07555,2
E108,A08529,2
E108,A08608,2
E108,A09184,2
E108,A12481,2
E108,A13686,2
E108,A02041,1
E108,A02550,1
E108,A03402,1
E108,A04654,1
E108,A04711,1
E108,A04818,1
E108,A04862,1
