销方单位代号,价税合计
A00831,6926.0
A00832,11192.0
A00833,11020.0
A00834,3398.0
A00835,255.0
A00836,4502.0
A00837,585.0
A00838,219247.0
A00839,855.0
A00840,5898.0
A00841,880.0
A00842,460.0
A00843,3000.0
A00844,600.0
A00845,9634.0
A00846,410.0
A00847,740.0
A00848,59.0
A00849,940.0
A00850,11000.0
A00851,309.0
A00852,1000.0
A00853,886.11
A00854,359.5
A00855,7000.0
A00856,1157791.5
A00857,98959.0
A00858,283.0
A00859,361.0
A00860,67772.0
A00861,6848.56
A00862,206.0
A00863,37549.0
A00864,910.0
A00865,1687.0
A00866,3229.0
A00867,6138.0
A00868,678.0
A00869,1571.0
A00870,271.0
A00871,200.0
A00872,6048.4
A00873,1000.0
A00874,1130.0
A00875,17342.42
A00876,10612000.2
A00877,650.0
A00878,1889.0
A00879,8955.07
A00880,1750.0
A00881,700.0
A00882,41173.0
A00883,107306.54
A00884,22151.0
A00885,200.0
A00886,8455.49
A00887,680.0
A00888,1474.34
A00889,844.0
A00890,1780.0
A00891,3287.0
A00892,500.0
A00893,400.0
A00894,5761.0
A00895,1607.16
A00896,2297.0
A00897,2100.0
A00898,565.0
A00899,545.0
A00900,1594.0
A00901,785.0
A00902,22112.0
A00903,1608.0
A00904,500.0
A00905,785.0
A00906,1090.0
A00907,3760.0
A00908,33758.0
A00909,4500.0
A00910,4810.0
A00911,300.0
A00912,1186.0
A00913,1692.0
A00914,485.0
A00915,400.0
A00916,600.0
A00917,466.0
A00918,435.0
A00919,485.0
A00920,460.0
A00921,420.0
A00922,42048.0
A00923,10400.0
A00924,40000.0
A00925,6968.13
A00926,16179.08
A00927,1000.0
A00928,17850.0
A00929,18328.44
A00930,3500.0
A00931,3750.0
A00932,3360.0
A00933,800387.0800000001
A00934,91805.0
A00935,18000.0
A00936,31000.0
A00937,358540.0
A00938,10500.0
A00939,363911391.06999993
A00940,200.0
A00941,8690.0
A00942,1487.0
A00943,30.0
A00944,74186.19
A00945,18618.93
A00946,15700.82
A00947,2538.0
A00948,31155.0
A00949,236000.0
A00950,39865.0
A00951,405.0
A00952,1461840.0
A00953,147800.0
A00954,296.4
A00955,1644.0
A00956,1300.0
A00957,3800.0
A00958,300000.0
A00959,784488.0
A00960,3640.0
A00961,536.0
A00962,499.55
A00963,104030.0
A00964,5000.0
A00965,188.0
A00966,5698.0
A00967,198.0
A00968,3550.0
A00969,1881.1799999999998
A00970,622.9
A00971,24.6
A00972,100.0
A00973,3200.0
A00974,329684.87
A00975,189478.0
A00976,558.0
A00977,8200.0
A00978,117544.37000000001
A00979,500.0
A00980,2094.0
A00981,2955.0
A00982,300.0
A00983,15499.439999999999
A00984,31316.88
A00985,762.0
A00986,1343.7
A00987,1966.0
A00988,2790.0
A00989,1514.0
A00990,34533.0
A00991,240.0
A00992,256.0
A00993,1888.0
A00994,772.0
A00995,923.0
A00996,5000.0
A00997,120.0
A00998,446.0
A00999,530.0
A01000,1179.0
A01001,3228.0
A01002,3988.0
A01003,1714.0
A01004,142500.0
A01005,457770.0
A01006,39400.0
A01007,14081.88
A01008,14081.88
A01009,750.0
A01010,900.0
A01011,4130.0
A01012,4000.0
A01013,1500.0
A01014,624063.0
A01015,1253.0
A01016,1698.0
A01017,925.0
A01018,683.0
A01019,175.0
A01020,3270.0
A01021,160.0
A01022,1244.84
A01023,460.0
A01024,2500.0
A01025,426.0
A01026,3193.0
A01027,1250.0
A01028,3165.0
A01029,178.0
A01030,358.0
A01031,31235.0
A01032,13345.0
A01033,1000.0
A01034,1000.0
A01035,90.0
A01036,2592.0
A01037,65602.0
A01038,148.0
A01039,28500.0
A01040,7547.0
A01041,0.0
A01042,2672.0
A01043,102.0
A01044,1738085.5
A01045,10040.0
A01046,794.0
A01047,2100.0
A01048,1047.0
A01049,4748.0
A01050,370.0
A01051,895.0
A01052,520.0
A01053,765.0
A01054,7838.0
A01055,10685.0
A01056,378.0
A01057,9800.0
A01058,1100.0
A01059,440.0
A01060,15859.0
A01061,1030.0
A01062,525.0
A01063,280.0
A01064,1734.0
A01065,722.0
A01066,3020.0
A01067,259.4
A01068,1420.0
A01069,5553.0
A01070,248.0
A01071,447.0
A01072,2854.0
A01073,3571.0
A01074,717.0
A01075,520.0
A01076,83539.8
A01077,3630.0
A01078,2639.2
A01079,2132.0
A01080,1560.0
A01081,2406.0
A01082,1870.0
A01083,740.0
A01084,144.0
A01085,500.0
A01086,170.0
A01087,68.0
A01088,466.0
A01089,2096.0
A01090,2009.0
A01091,500.0
A01092,76.0
A01093,800.0
A01094,125400.0
A01095,5931.0
A01096,497.0
A01097,303000.0
A01098,21514.0
A01099,44199.75
A01100,186.0
A01101,346.0
A01102,1378.0
A01103,1650.0
A01104,5270.0
A01105,246.0
A01106,2257.0
A01107,1797.0
A01108,2165.0
A01109,390.0
A01110,420.0
A01111,51060.0
A01112,5000.0
A01113,1536.01
A01114,2047.2
A01115,282.0
A01116,1481.0
A01117,2511.0
A01118,230.0
A01119,365.0
A01120,2208.0
A01121,4225.0
A01122,1800.0
A01123,3834.0
A01124,98.0
A01125,344.0
A01126,206.0
A01127,18601826.849999998
A01128,783077.9
A01129,1046.0
A01130,6671.0
A01131,136.0
A01132,7405.0
A01133,35298.0
A01134,2420.0
A01135,300.0
A01136,1946.2
A01137,281079.01
A01138,2286.0
A01139,2956.0
A01140,181.0
A01141,179623.5
A01142,4342.35
A01143,2999.5
A01144,1699.0
A01145,1120.0
A01146,810.0
A01147,537.0
A01148,62131942.199999996
A01149,1318.0
A01150,1080.0
A01151,368.0
A01152,2000.0
A01153,122374.0
A01154,268.0
A01155,805.0
A01156,1840.0
A01157,7797.0
A01158,444.0
A01159,462.0
A01160,23197.0
A01161,1206.0
A01162,499.0
A01163,270.0
A01164,613.2
A01165,1139.4
A01166,26600.0
A01167,1728.0
A01168,500.0
A01169,200000.2
A01170,383.53
A01171,47047.0
A01172,7000.0
A01173,1000.0
A01174,93455.0
A01175,276.0
A01176,26642.4
A01177,6508.0
A01178,2786946.37
A01179,15000.0
A01180,5000.0
A01181,356530.85
A01182,8143.0
A01183,9671.36
A01184,3712177.0999999996
A01185,2134.0
A01186,39116.98
A01187,4080.0
A01188,5400.0
A01189,2557000.0
A01190,591.3199999999999
A01191,500000.0
A01192,560.0
A01193,1357.98
A01194,1152.0
A01195,332985.7
A01196,1169.0
A01197,7130.04
A01198,2515.0
A01199,1282593.92
A01200,324.0
A01201,24191.489999999998
A01202,14851.41
A01203,100589.0
A01204,573263.28
A01205,73764.82000000005
A01206,80721.2
A01207,24045.0
A01208,162.0
A01209,124.0
A01210,1400.0
A01211,1200.0
A01212,12100.0
A01213,190.0
A01214,22925.0
A01215,11322.0
A01216,2860.0
A01217,152467.5
A01218,1698.0
A01219,2900.0
A01220,600.0
A01221,510.0
A01222,1482.0
A01223,4350.0
A01224,6000.0
A01225,458.0
A01226,240.0
A01227,13160.0
A01228,2245.0
A01229,3507233.3800000004
A01230,3724.0
A01231,7538.0
A01232,1009.0
A01233,400.0
A01234,144.0
A01235,586.5
A01236,149.0
A01237,3277.0
A01238,1400.0
A01239,73911.3
A01240,8732.0
A01241,80143.8
A01242,1607.0
A01243,303.0
A01244,297.0
A01245,510.0
A01246,400.0
A01247,967.0
A01248,230.0
A01249,7127.0
A01250,2499.0
A01251,2760.0
A01252,120.0
A01253,317.0
A01254,26725.0
A01255,878.0
A01256,210.0
A01257,238.0
A01258,242.0
A01259,280.0
A01260,461.0
A01261,176.0
A01262,360.0
A01263,50000.0
A01264,4720.0
A01265,140.0
A01266,982.0
A01267,1180.0
A01268,638.0
A01269,32921.89
A01270,5952.0
A01271,13640.0
A01272,2259.41
A01273,100.0
A01274,1113.0
A01275,711.0
A01276,12220.6
A01277,1125.0
A01278,248.0
A01279,425.0
A01280,358.0
A01281,600.0
A01282,2032.0
A01283,778575.2699999996
A01284,46409.6
A01285,790.0
A01286,15600.0
A01287,4000.0
A01288,92112.0
A01289,117550.0
A01290,1790.0
A01291,6424.54
A01292,268.0
A01293,248.0
A01294,790.0
A01295,120.0
A01296,29133.300000000003
A01297,4022.0
A01298,16940.0
A01299,2911.4
A01300,200.0
A01301,1082.0
A01302,494.0
A01303,545.84
A01304,204131.5
A01305,3677.0
A01306,296.0
A01307,99.9
A01308,2231462.0500000007
A01309,158.0
A01310,2240.0
A01311,118.31
A01312,9992.0
A01313,18520.0
A01314,10580.84
A01315,62900.0
A01316,39946.2
A01317,128050.0
A01318,177600.0
A01319,241726.0
A01320,10958.96
A01321,2320.0
A01322,33394.0
A01323,200001.1
A01324,226575.0
A01325,819.98
A01326,20.0
A01327,3438.82
A01328,452.0
A01329,135.0
A01330,1530.0
A01331,378.0
A01332,1468.0
A01333,45.49
A01334,2488.1
A01335,57000.0
A01336,326440.0
A01337,75149.0
A01338,363.0
A01339,105841.22
A01340,51386.64
A01341,55920.0
A01342,17310513.89999999
A01343,590.0
A01344,2470.0
A01345,370000.0
A01346,943.48
A01347,2880.0
A01348,360.0
A01349,744.0
A01350,120.0
A01351,2944.0
A01352,620.0
A01353,365.0
A01354,2088.0
A01355,226.0
A01356,312.0
A01357,415.0
A01358,201000.0
A01359,365.0
A01360,1744.0
A01361,154019.0
A01362,288313.0
A01363,47587.4
A01364,840.0
A01365,27063.6
A01366,1076.0
A01367,15517.07
A01368,140.0
A01369,37190.81
A01370,1417.0
A01371,1156.0
A01372,262.0
A01373,126.0
A01374,600000.0
A01375,3255.0
A01376,325680.0
A01377,1461000.0
A01378,1173.0
A01379,1377.0
A01380,5090570.17
A01381,21600.0
A01382,15600.0
A01383,4800.0
A01384,15600.0
A01385,9600.0
A01386,21283.44
A01387,1207.0
A01388,457.5
A01389,946.8
A01390,155870.9
A01391,296.0
A01392,202.0
A01393,151.0
A01394,2206.0
A01395,368.0
A01396,9910.0
A01397,2730.0
A01398,38516.0
A01399,78000.0
A01400,395.0
A01401,816.0
A01402,2240.0
A01403,293506.59
A01404,169286.09999999998
A01405,2692.0
A01406,34282.0
A01407,19842.0
A01408,1800.0
A01409,5394.0
A01410,1818.0
A01411,3418.0
A01412,182.0
A01413,3428.0
A01414,2672.0
A01415,2164.0
A01416,159.0
A01417,100000.0
A01418,12680.0
A01419,7500.0
A01420,106.0
A01421,6410540.0
A01422,1558.0
A01423,1705.0
A01424,2365.9700000000003
A01425,943158.0
A01426,8373.0
A01427,2048.0
A01428,541.0
A01429,445011.1
A01430,3471.0
A01431,300.0
A01432,51840.0
A01433,2290.0
A01434,82990.76
A01435,582147.0
A01436,527.0
A01437,400.0
A01438,210.0
A01439,640.0
A01440,656.0
A01441,227920.8
A01442,11375.0
A01443,1347.0
A01444,30990.0
A01445,27880.0
A01446,1140.0
A01447,370.0
A01448,178.0
A01449,175419.9
A01450,35000.0
A01451,27033.4
A01452,550.0
A01453,5120.0
A01454,128.0
A01455,17836.0
A01456,714.0
A01457,19200.0
A01458,1254.0
A01459,149.0
A01460,79200.0
A01461,7600.0
A01462,59220.0
A01463,2000.0
A01464,72787.28000000001
A01465,42680.0
A01466,2905.0
A01467,10000.0
A01468,2980.0
A01469,2548.8
A01470,470.0
A01471,1398.0
A01472,2677.49
A01473,9440.51
A01474,614.0
A01475,269.0
A01476,400.0
A01477,690.0
A01478,280.0
A01479,28106.799999999996
A01480,5017.7
A01481,17460.0
A01482,108905.0
A01483,2234.0
A01484,58590.07
A01485,2548.0
A01486,1000.0
A01487,688.0
A01488,1608.0
A01489,268.0
A01490,10500.0
A01491,23772.4
A01492,1905.0
A01493,26950.0
A01494,2500.0
A01495,148.94
A01496,10000.0
A01497,8340.0
A01498,28000.0
A01499,134293.68
A01500,480.0
A01501,6808.71
A01502,167379.0
A01503,50.0
A01504,50000.0
A01505,14873.1
A01506,20923.0
A01507,39598.0
A01508,58761.0
A01509,1239.0
A01510,794.37
A01511,200.0
A01512,348.61
A01513,18900.0
A01514,9015.0
A01515,410121.57
A01516,213313.1
A01517,12570.0
A01518,5999.0
A01519,62000.0
A01520,41798.700000000004
A01521,731494.0
A01522,305.0
A01523,119.64
A01524,135468.0
A01525,57032.0
A01526,256.0
A01527,2260.0
A01528,0.0
A01529,644.02
A01530,74056.34
A01531,27420.0
A01532,13010.0
A01533,13050.0
A01534,26080.0
A01535,16000.0
A01536,6290.0
A01537,10000.0
A01538,62.5
A01539,149.0
A01540,112.0
A01541,44400.0
A01542,368853.0
A01543,3342616.59
A01544,1284.0
A01545,2300.0
A01546,204.0
A01547,2000.0
A01548,10000.0
A01549,80878.39
A01550,4000.0
A01551,64310.0
A01552,120000.0
A01553,94.0
A01554,50000.0
A01555,6840.0
A01556,9000.0
A01557,1059.0
A01558,144213.05
A01559,3260.0
A01560,227272.5
A01561,20500.0
A01562,7500.0
A01563,17600.0
A01564,27000.0
A01565,1096.0
A01566,1313.06
A01567,636.0
A01568,877735.0
A01569,166.0
A01570,1885.0
A01571,528.0
A01572,630.0
A01573,100.0
A01574,44364.0
A01575,141.0
A01576,604.0
A01577,2600.0
A01578,29000.0
A01579,1083.0
A01580,14000.0
A01581,200000.0
A01582,460.0
A01583,428860.1
A01584,39558.0
A01585,422013.0
