,销方单位代号
A02965,85
A02099,85
A07688,84
A02920,84
A08184,84
A08412,84
A07857,83
A07556,83
A00572,82
A07008,82
A13702,82
A08937,81
A07030,81
A05712,81
A06030,81
A00569,81
A03594,81
A10729,81
A06993,80
A07116,80
A06224,80
A07419,79
A08115,79
A12855,79
A07046,79
A13394,79
A06266,79
A01598,79
A05375,78
A00743,78
A07007,78
A09984,77
A08939,77
A06510,77
A02851,76
A02035,76
A02748,76
A08155,76
A06386,76
A11380,76
A07874,75
A05392,75
A00587,75
A02669,75
A09336,75
A00171,74
A06995,74
A07808,74
A08892,74
A07616,73
A00248,73
A01398,73
A10567,73
A08703,73
A13212,72
A03395,72
A09478,71
A01588,71
A12844,71
A02585,71
A03312,71
A03891,70
A00612,70
A08158,70
A03150,70
A10237,70
A05575,70
A13611,70
A10063,70
A10255,70
A04015,69
A03684,69
A09506,69
A06512,69
A00314,69
A11773,68
A08111,68
A07966,68
A00609,68
A06749,68
A08477,68
A11227,67
A02304,67
A00856,67
A06753,67
A06318,67
A07843,67
A13874,67
A03095,67
A12938,67
A08258,66
A00884,66
A10505,66
A01653,66
A05161,66
A09501,66
A03785,66
A07180,66
A12328,65
A09483,65
A05991,65
A06431,65
A08740,65
A01037,65
A05691,64
A07682,64
A02951,64
A09418,64
A08421,64
A06884,64
A07718,64
A00368,64
A10580,64
A02222,64
A00978,64
A06731,64
A09252,64
A11074,63
A10365,63
A06549,63
A01111,63
A08295,63
A06515,62
A10573,62
A04343,62
A09214,62
A02771,62
A09538,62
A05110,62
A06970,61
A00776,61
A06042,61
A08941,61
A01652,61
A07908,61
A08895,61
A07647,60
A02526,60
A09291,60
A09359,60
A05296,60
A10371,60
A05361,60
A05061,60
A05609,60
A00615,60
A08711,60
A09181,60
A12266,59
A00628,59
A09552,59
A06985,59
A10246,59
A06523,59
A07758,59
A12005,59
A06566,59
A13381,59
A13538,59
A09783,59
A08084,59
A00845,58
A11259,58
A13447,58
A02955,58
A02919,58
A10194,58
A10912,58
A13343,58
A02435,58
A04475,57
A09060,57
A03318,57
A06765,57
A00265,57
A13709,56
A11277,56
A10903,56
A02274,56
A03179,56
A11755,56
A02704,56
A10858,56
A02500,56
A06396,56
A09987,55
A06661,55
A00151,55
A08807,55
A02314,55
A02392,55
A10036,55
A07027,55
A06416,55
A00604,55
A07919,55
A03894,55
A13419,55
A00939,54
A08430,54
A02888,54
A09052,54
A08073,54
A12135,54
A10539,54
A10428,54
A06538,54
A05372,54
A06634,54
A05867,54
A10096,53
A01866,53
A09977,53
A11887,53
A01775,53
A10574,53
A10906,53
A06908,53
A10145,53
A00087,53
A00793,53
A00320,53
A03805,52
A07050,52
A07260,52
A03028,52
A08661,52
A03668,52
A05124,52
A03297,52
A09362,52
A13590,52
A06337,52
A05143,52
A04474,52
A03802,52
A05374,51
A02792,51
A07684,51
A07913,51
A05771,51
A13733,51
A03138,51
A10283,51
A12187,51
A06941,51
A05579,51
A13834,50
A08121,50
A07090,50
A06361,50
A00349,50
A03382,50
A01407,50
A13156,49
A13543,49
A03120,49
A05252,49
A03009,49
A10494,49
A02497,49
A03290,49
A02401,49
A07586,49
A09000,49
A09111,49
A03910,49
A04275,49
A02896,48
A02198,48
A10307,48
A00543,48
A07212,48
A06681,48
A00367,48
A10741,48
A08252,48
A02499,48
A12070,48
A04477,48
A08210,47
A00838,47
A12190,47
A06835,47
A06857,47
A06509,47
A11961,47
A06584,47
A05510,47
A02393,47
A07087,47
A02388,47
A05922,46
A04476,46
A05964,46
A03852,46
A02346,46
A02394,46
A10245,46
A00386,46
A01926,46
A13159,46
A09260,46
A10596,46
A05542,46
A06847,46
A05274,46
A09269,46
A02607,46
A02461,46
A11832,45
A08705,45
A01342,45
A09284,45
A06274,45
A08521,45
A12100,45
A07641,45
A05377,45
A08107,45
A08445,45
A08400,45
A11280,45
A03749,45
A02156,44
A00294,44
A02981,44
A11113,44
A13732,44
A08420,44
A01643,44
A00607,44
A13654,44
A07700,44
A02893,44
A08129,43
A12253,43
A00342,43
A09074,43
A11875,43
A06313,43
A12277,43
A04019,43
A03804,43
A06330,43
A13734,43
A07706,43
A10899,43
A08673,43
A10951,43
A00353,43
A12535,43
A04951,43
A02260,43
A00202,42
A12705,42
A03136,42
A08627,42
A06131,42
A06513,42
A01484,42
A07578,42
A02666,42
A12317,42
A09047,42
A03630,42
A08827,42
A01610,42
A02925,42
A06609,41
A13128,41
A00623,41
A09703,41
A13147,41
A12963,41
A05814,41
A06302,41
A11459,41
A09549,41
A03273,41
A09012,41
A07348,41
A00176,41
A13415,41
A03440,41
A00618,41
A10740,41
A00155,41
A07824,41
A00599,40
A00091,40
A04997,40
A09384,40
A12419,40
A08027,40
A07891,40
A09421,40
A05990,40
A03155,40
A06427,40
A10471,40
A08752,40
A08122,40
A02555,40
A10591,39
A00860,39
A09512,39
A04167,39
A07268,39
A02612,39
A08403,39
A03228,39
A00574,39
A04023,39
A13722,39
A02664,39
A00613,39
A09826,39
A00732,39
A03814,39
A00826,39
A13226,39
A08553,38
A05777,38
A00365,38
A00806,38
A04478,38
A07761,38
A08724,38
A06923,38
A11946,38
A13618,38
A03132,38
A12076,38
A09243,38
A04470,38
A11438,38
A04472,38
A13140,37
A08038,37
A03516,37
A08119,37
A11623,37
A10076,37
A08235,37
A02094,37
A03157,37
A13571,37
A06999,37
A02642,37
A02295,37
A08462,37
A06457,37
A08086,37
A07839,37
A10614,37
A11976,37
A01365,37
A09817,37
A04920,37
A02301,37
A12183,37
A12673,37
A07460,36
A05186,36
A08157,36
A02693,36
A11876,36
A04949,36
A08971,36
A08949,36
A00011,36
A00739,36
A00580,36
A07881,36
A08127,36
A06576,36
A03546,36
A01482,36
A10657,36
A12685,36
A10984,36
A09378,36
A04552,36
A03602,36
A13783,36
A02181,36
A06613,35
A07645,35
A08768,35
A10402,35
A04349,35
A01230,35
A00679,35
A07171,35
A00372,35
A06745,35
A01603,35
A03398,35
A04914,35
A09217,35
A07022,35
A09364,35
A05849,35
A04656,35
A05247,35
A10536,35
A08480,35
A06920,35
A00348,35
A00678,35
A03214,35
A04752,35
A12522,35
A11684,35
A09196,35
A03714,35
A00876,34
A07547,34
A12178,34
A07485,34
A09545,34
A02318,34
A03941,34
A09308,34
A02264,34
A02826,34
A06836,34
A07712,34
A08686,34
A10092,34
A06881,34
A06870,34
A02707,34
A13400,34
A06808,34
A00177,34
A13418,34
A07109,34
A12628,34
A13089,34
A11826,34
A11913,34
A10769,34
A05890,34
A03178,34
A11721,33
A10361,33
A08364,33
A06310,33
A09329,33
A07157,33
A03890,33
A02946,33
A03106,33
A01743,33
A10613,33
A03195,33
A07896,33
A03412,33
A02938,33
A07691,33
A13461,33
A05895,33
A12828,33
A04991,33
A02921,33
A08796,33
A03053,32
A07828,32
A09238,32
A12319,32
A08761,32
A00735,32
A04096,32
A08388,32
A00886,32
A00804,32
A04119,32
A05957,32
A08470,32
A06342,32
A09734,32
A07196,32
A03653,32
A00366,32
A08142,32
A09669,32
A00560,32
A02655,32
A02990,32
A09870,32
A03876,32
A00589,32
A02025,32
A13125,32
A02199,32
A06480,32
A06665,32
A06759,32
A11492,32
A02911,31
A04353,31
A12329,31
A06297,31
A10838,31
A04106,31
A03680,31
A02172,31
A11152,31
A02675,31
A07964,31
A03623,31
A11703,31
A08236,31
A11584,31
A06871,31
A06886,31
A08488,31
A06750,31
A00337,31
A04457,31
A08831,31
A02568,31
A11205,31
A02562,31
A05096,31
A06789,31
A10533,31
A09929,31
A00789,31
A09514,31
A02620,31
A09234,31
A08171,31
A02432,30
A09955,30
A06579,30
A00729,30
A00311,30
A08247,30
A02016,30
A06583,30
A02875,30
A06801,30
A01956,30
A05359,30
A12015,30
A02395,30
A08095,30
A07721,30
A10819,30
A10948,30
A09948,30
A00627,30
A00542,30
A02109,30
A06875,30
A03840,30
A01204,30
A03919,30
A07911,30
A04021,30
A11451,30
A06676,30
A12833,30
A10917,30
A03747,30
A02706,30
A13694,30
A08397,29
A09687,29
A05103,29
A00544,29
A02246,29
A07576,29
A08688,29
A04887,29
A07546,29
A10199,29
A13708,29
A09415,29
A12379,29
A03628,29
A00769,29
A06352,29
A09175,29
A11193,29
A09013,29
A13130,29
A00272,29
A13224,29
A13349,29
A07288,29
A10272,29
A07717,29
A10886,29
A05489,29
A12107,29
A12843,28
A04460,28
A06422,28
A09073,28
A01049,28
A00263,28
A06713,28
A08439,28
A00586,28
A08565,28
A01178,28
A06788,28
A08044,28
A03161,28
A02757,28
A13796,28
A00360,28
A07365,28
A10656,28
A12909,28
A09195,28
A09206,28
A10374,28
A06957,28
A03281,28
A07253,28
A00371,28
A09027,28
A07950,28
A01189,28
A03936,28
A08125,28
A07681,28
A10358,28
A03159,28
A13460,28
A00072,28
A09261,27
A00605,27
A00012,27
A05228,27
A13635,27
A08340,27
A03521,27
A00934,27
A03683,27
A12854,27
A08748,27
A07148,27
A02609,27
A12143,27
A07447,27
A08630,27
A06324,27
A09610,27
A07618,27
A01148,27
A09254,27
A11282,27
A08749,27
A02343,27
A12706,27
A03719,27
A09210,27
A06290,27
A06874,27
A00326,27
A10715,27
A08646,27
A06312,27
A01214,27
A10615,27
A12894,27
A10146,27
A08108,27
A08033,27
A10767,27
A06504,27
A03666,27
A06848,27
A02729,27
A01199,26
A07736,26
A12933,26
A01903,26
A11503,26
A06400,26
A05102,26
A03006,26
A01044,26
A10773,26
A02786,26
A11021,26
A09943,26
A06487,26
A07234,26
A11858,26
A13828,26
A07612,26
A09508,26
A06514,26
A13390,26
A05955,26
A10291,26
A04276,26
A04055,26
A00867,26
A05993,26
A08056,26
A12016,26
A00616,26
A07708,26
A01865,26
A12254,26
A10998,26
A08974,26
A09225,26
A08113,26
A10896,26
A10013,26
A02516,25
A11071,25
A01285,25
A05439,25
A03530,25
A10787,25
A06016,25
A00730,25
A05928,25
A05923,25
A05459,25
A10075,25
A10231,25
A04492,25
A07763,25
A09921,25
A11741,25
A02552,25
A07262,25
A03069,25
A07793,25
A07181,25
A03018,25
A04897,25
A07931,25
A12478,25
A13030,25
A09974,25
A02667,25
A07720,25
A11387,25
A07626,25
A12690,25
A09226,25
A01296,25
A02251,25
A10947,24
A09964,24
A00610,24
A00295,24
A07869,24
A02980,24
A00079,24
A11128,24
A11290,24
A06357,24
A10240,24
A06554,24
A08091,24
A04341,24
A01499,24
A03777,24
A09033,24
A05908,24
A11949,24
A02054,24
A03851,24
A06626,24
A08501,24
A13253,24
A06922,24
A00669,24
A03562,24
A00786,24
A06784,24
A00963,24
A05840,24
A10026,24
A02450,24
A06519,24
A09604,24
A08880,24
A07252,24
A06729,24
A06384,24
A00790,24
A11095,24
A02993,24
A12658,24
A09270,24
A00010,24
A03217,24
A06286,24
A12340,24
A13704,24
A12018,24
A07107,24
A12619,24
A11829,24
A11284,24
A02674,24
A10755,24
A00879,24
A02398,24
A07282,24
A07620,24
A05939,24
A04014,24
A07644,23
A04469,23
A09374,23
A03928,23
A11134,23
A09108,23
A10173,23
A06907,23
A00695,23
A12013,23
A07943,23
A05655,23
A03004,23
A01442,23
A10763,23
A13881,23
A01479,23
A07531,23
A02434,23
A13222,23
A06032,23
A04835,23
A04545,23
A05725,23
A03781,23
A02930,23
A12726,23
A08845,23
A06306,23
A01130,23
A02723,23
A07422,23
A00952,23
A02272,23
A08415,23
A12453,23
A10949,23
A02784,23
A01327,23
A09632,23
A11790,23
A00489,23
A02782,23
A00772,23
A00975,23
A12740,23
A09960,23
A12115,22
A06440,22
A06737,22
A12296,22
A04524,22
A02408,22
A08868,22
A03003,22
A03914,22
A07283,22
A08375,22
A00698,22
A12146,22
A02845,22
A12827,22
A08548,22
A07056,22
A03807,22
A05057,22
A12109,22
A06351,22
A01396,22
A02259,22
A06666,22
A12398,22
A00296,22
A12068,22
A04335,22
A03123,22
A11751,22
A02527,22
A03437,22
A09325,22
A06818,22
A13123,22
A03631,21
A08037,21
A01201,21
A12004,21
A08243,21
A12234,21
A05985,21
A04793,21
A04088,21
A12829,21
A06868,21
A07599,21
A09294,21
A04523,21
A02384,21
A03757,21
A07455,21
A02967,21
A09277,21
A12214,21
A07237,21
A05997,21
A09282,21
A04180,21
A06578,21
A00577,21
A12999,21
A01184,21
A04044,21
A12201,21
A02639,21
A08976,21
A09663,21
A08682,21
A00319,21
A03460,21
A07230,21
A08580,21
A00506,21
A00567,21
A07086,21
A12189,21
A07145,21
A04018,21
A03405,21
A04602,21
A05455,21
A07053,21
A12130,21
A06412,21
A08786,21
A08616,21
A03353,21
A07293,21
A00289,21
A05385,21
A06404,21
A03795,21
A00431,21
A10510,21
A11898,21
A07643,21
A01002,21
A09377,21
A13041,21
A09123,21
A08466,21
A04641,21
A11507,21
A01557,21
A10703,21
A11977,21
A10091,20
A00805,20
A09719,20
A03681,20
A02300,20
A03181,20
A02746,20
A01409,20
A07538,20
A00190,20
A05836,20
A10970,20
A12621,20
A00497,20
A07733,20
A00620,20
A07414,20
A06258,20
A01839,20
A09982,20
A08794,20
A02891,20
A04277,20
A04092,20
A06669,20
A02668,20
A08685,20
A07488,20
A08284,20
A02645,20
A00785,20
A04479,20
A02451,20
A02263,20
A11336,20
A05661,20
A06282,20
A10176,20
A08169,20
A00778,20
A04935,20
A13688,20
A07658,20
A10588,20
A01429,20
A04974,20
A02859,20
A05499,20
A04635,20
A00696,20
A02960,20
A06452,20
A02765,20
A10761,20
A09016,20
A06420,20
A05258,20
A00588,20
A00777,20
A07505,20
A06683,20
A08908,20
A11624,20
A09093,20
A07167,20
A04045,19
A02627,19
A07511,19
A02030,19
A07564,19
A02122,19
A01897,19
A03590,19
A03822,19
A03586,19
A07220,19
A05950,19
A08864,19
A08927,19
A06657,19
A00373,19
A07256,19
A08041,19
A08983,19
A12679,19
A01795,19
A11260,19
A08195,19
A02726,19
A08269,19
A09168,19
A02825,19
A02428,19
A07904,19
A07910,19
A09596,19
A10559,19
A13502,19
A00243,19
A07959,19
A04296,19
A07870,19
A06474,19
A03143,19
A03147,19
A08290,19
A05426,19
A02036,19
A04560,19
A00697,19
A04615,19
A06221,19
A01386,19
A10177,19
A11797,19
A07149,19
A10822,19
A01042,19
A07284,19
A02203,19
A05938,19
A04338,19
A08903,19
A11493,19
A02278,19
A03015,19
A12182,19
A07615,19
A05353,19
A11813,19
A00894,19
A12530,19
A03754,19
A06418,19
A12235,19
A09242,18
A06814,18
A00175,18
A06820,18
A11679,18
A04525,18
A07803,18
A00933,18
A03656,18
A00379,18
A00791,18
A04090,18
A12310,18
A12209,18
A13182,18
A06730,18
A07386,18
A00861,18
A02752,18
A08022,18
A08260,18
A00768,18
A03736,18
A07446,18
A06505,18
A07105,18
A12604,18
A12502,18
A13173,18
A03014,18
A06978,18
A02121,18
A02654,18
A02756,18
A12660,18
A10723,18
A12521,18
A07690,18
A03846,18
A05158,18
A08316,18
A04138,18
A00731,18
A05471,18
A10957,18
A04599,18
A09581,18
A10029,18
A13163,18
A05656,18
A02994,18
A10148,18
A08000,18
A06819,18
A09036,18
A00727,18
A06961,18
A02586,18
A02847,18
A05389,18
A10700,18
A07549,18
A09274,18
A06577,18
A13865,18
A03615,18
A02591,18
A03456,18
A10575,18
A05360,18
A04189,18
A04517,18
A10066,18
A00570,18
A07850,18
A09037,18
A08622,18
A07038,18
A00803,18
A08582,18
A00541,18
A07263,18
A08940,18
A10642,18
A07481,18
A07652,18
A00595,18
A03254,18
A02038,18
A08583,18
A10792,17
A03620,17
A06377,17
A05236,17
A06663,17
A09177,17
A10345,17
A11365,17
A12144,17
A00561,17
A00075,17
A06718,17
A02944,17
A13726,17
A09143,17
A02774,17
A12040,17
A09435,17
A04337,17
A07714,17
A10271,17
A01826,17
A01996,17
A07968,17
A06866,17
A10907,17
A09222,17
A08431,17
A10400,17
A05770,17
A05232,17
A06499,17
A07604,17
A02940,17
A04348,17
A13316,17
A02391,17
A00336,17
A05332,17
A11669,17
A04093,17
A04708,17
A08288,17
A08659,17
A11818,17
A08657,17
A06285,17
A08930,17
A10368,17
A00974,17
A06793,17
A03474,17
A05717,17
A11792,17
A13102,17
A00500,17
A13399,17
A03114,17
A08282,17
A07114,17
A09069,17
A03864,17
A09022,17
A09717,17
A13842,17
A03836,17
A07659,17
A00258,17
A12943,17
A08280,17
A08745,17
A08719,17
A00733,17
A00749,17
A10806,17
A03607,17
A00734,17
A01128,17
A05596,17
A13198,17
A02426,17
A04282,17
A09511,17
A13252,17
A05995,17
A00467,17
A03863,17
A05444,17
A06642,17
A06708,17
A09972,17
A13848,17
A02197,16
A07835,16
A07004,16
A08387,16
A06648,16
A00073,16
A07270,16
A04363,16
A02678,16
A01097,16
A12958,16
A11866,16
A02266,16
A07176,16
A00926,16
A00754,16
A04921,16
A03834,16
A13064,16
A04926,16
A08101,16
A12166,16
A13259,16
A00621,16
A04676,16
A00526,16
A06744,16
A02268,16
A12810,16
A04948,16
A10731,16
A04420,16
A04107,16
A01449,16
A00142,16
A11707,16
A08166,16
A02985,16
A08312,16
A06937,16
A07672,16
A08230,16
A04108,16
A05818,16
A03860,16
A00031,16
A00014,16
A11497,16
A08744,16
A08366,16
A06968,16
A01451,16
A07118,16
A06011,16
A08592,16
A09898,16
A01014,16
A09673,16
A06587,16
A04280,16
A11582,16
A07017,16
A07395,16
A04930,16
A07960,16
A12089,16
A09664,16
A08975,16
A00709,16
A00077,16
A08307,16
A04878,16
A04471,16
A10174,16
A09615,16
A04340,16
A01785,16
A00423,16
A08148,16
A12433,16
A11889,16
A02700,16
A11893,16
A03873,16
A00094,16
A11146,16
A06969,16
A00737,16
A01521,16
A07788,16
A07716,16
A08874,16
A02761,16
A00745,16
A02566,16
A01272,16
A02376,16
A03506,16
A06885,16
A09347,16
A02487,15
A09298,15
A00928,15
A03767,15
A03693,15
A09471,15
A05352,15
A05553,15
A02805,15
A09628,15
A06763,15
A12479,15
A03001,15
A08222,15
A04074,15
A11185,15
A05703,15
A12408,15
A09741,15
A05464,15
A03655,15
A08558,15
A07899,15
A06403,15
A11731,15
A10844,15
A03454,15
A09890,15
A10879,15
A08062,15
A02816,15
A02445,15
A11672,15
A02080,15
A06597,15
A01708,15
A04105,15
A10782,15
A01979,15
A12326,15
A05434,15
A13237,15
A08468,15
A05105,15
A13710,15
A10024,15
A00133,15
A09629,15
A07146,15
A00700,15
A00701,15
A09876,15
A09389,15
A11647,15
A13312,15
A06787,15
A07970,15
A10617,15
A08958,15
A07678,15
A13129,15
A05175,15
A02995,15
A10760,15
A04831,15
A12698,15
A00699,15
A08497,15
A12348,15
A06822,15
A09193,15
A02670,15
A05150,15
A05098,15
A03215,15
A02570,15
A07821,15
A09182,15
A10252,15
A00959,15
A09406,15
A13480,15
A05077,15
A03184,15
A10882,15
A10587,15
A01377,15
A07611,15
A02939,15
A00746,15
A09250,15
A06890,15
A03825,15
A06426,15
A12543,15
A07003,15
A02643,15
A08209,15
A06994,15
A03166,15
A07057,15
A03761,15
A06761,15
A09623,15
A11531,15
A13315,15
A10931,15
A02788,15
A00340,15
A04994,15
A10501,15
A07240,15
A12042,15
A08835,15
A03930,15
A10154,15
A04735,15
A02695,15
A01542,15
A03007,15
A07735,15
A00537,15
A07156,15
A00280,15
A10286,15
A08275,15
A02844,15
A06844,14
A06264,14
A04690,14
A07541,14
A06012,14
A03895,14
A07790,14
A06974,14
A10952,14
A00622,14
A13161,14
A07188,14
A08848,14
A10260,14
A02687,14
A07829,14
A05528,14
A03830,14
A05936,14
A03478,14
A03947,14
A05198,14
A06003,14
A07596,14
A00910,14
A09954,14
A00653,14
A07448,14
A04048,14
A08207,14
A05008,14
A01994,14
A06389,14
A01073,14
A08332,14
A04904,14
A00736,14
A10775,14
A02630,14
A13144,14
A08600,14
A01269,14
A07272,14
A04776,14
A03168,14
A07350,14
A02717,14
A03531,14
A09453,14
A02064,14
A13598,14
A12703,14
A05210,14
A10422,14
A03700,14
A10828,14
A05647,14
A12640,14
A10817,14
A01389,14
A10104,14
A03673,14
A00493,14
A04076,14
A08568,14
A12162,14
A07668,14
A00465,14
A03047,14
A13735,14
A00221,14
A08787,14
A07584,14
A12987,14
A11927,14
A01874,14
A07742,14
A13574,14
A03137,14
A00866,14
A06507,14
A06025,14
A10046,14
A06646,14
A07070,14
A13870,14
A12110,14
A00771,14
A09509,14
A08743,14
A10370,14
A01985,14
A09897,14
A02824,14
A03361,14
A07730,14
A04240,14
A13431,14
A07685,14
A00110,14
A02003,14
A02515,14
A11154,14
A11002,14
A01891,14
A05347,14
A02763,14
A13230,14
A05527,14
A05723,14
A00536,14
A00527,14
A08208,14
A11733,14
A10739,14
A08124,14
A07123,14
A08191,14
A11063,14
A03016,13
A03080,13
A11223,13
A00763,13
A02032,13
A07710,13
A07506,13
A08053,13
A06090,13
A06678,13
A07508,13
A04022,13
A07976,13
A07121,13
A13491,13
A03438,13
A12075,13
A08433,13
A06915,13
A08389,13
A03298,13
A02163,13
A05844,13
A11159,13
A03296,13
A04079,13
A09599,13
A03812,13
A02535,13
A09661,13
A05378,13
A06695,13
A05058,13
A03054,13
A05869,13
A11998,13
A04210,13
A08075,13
A00907,13
A05204,13
A08109,13
A01430,13
A10500,13
A03923,13
A13873,13
A06287,13
A08543,13
A04577,13
A09474,13
A08453,13
A13747,13
A01531,13
A10626,13
A03888,13
A01820,13
A03660,13
A02396,13
A05785,13
A00266,13
A05904,13
A08145,13
A07809,13
A00286,13
A04813,13
A06066,13
A09751,13
A12137,13
A05986,13
A03172,13
A08035,13
A11789,13
A01079,13
A03144,13
A11224,13
A04903,13
A02833,13
A02510,13
A00585,13
A03043,13
A03944,13
A06777,13
A06895,13
A12448,13
A08936,13
A06347,13
A03727,13
A09056,13
A12461,13
A08782,13
A11414,13
A08784,13
A06575,13
A12181,13
A12045,13
A08559,13
A08504,13
A09400,13
A03763,13
A10785,13
A09496,13
A08281,13
A09735,13
A02986,13
A08912,13
A09561,13
A01657,13
A06478,13
A12852,13
A04185,13
A01069,13
A08232,13
A10920,13
A10693,13
A06824,13
A09981,13
A05393,12
A01319,12
A00715,12
A02831,12
A00220,12
A03117,12
A06140,12
A08213,12
A06520,12
A07394,12
A03872,12
A02882,12
A02822,12
A06832,12
A07858,12
A11003,12
A09743,12
A12771,12
A09491,12
A06739,12
A10134,12
A08640,12
A06938,12
A02601,12
A08804,12
A06144,12
A11805,12
A07619,12
A01369,12
A10502,12
A10713,12
A05116,12
A06891,12
A03726,12
A01215,12
A07633,12
A09091,12
A01650,12
A02027,12
A07704,12
A04089,12
A02369,12
A09475,12
A05994,12
A09909,12
A04351,12
A05351,12
A10736,12
A02860,12
A01045,12
A09666,12
A01641,12
A13307,12
A06332,12
A04047,12
A07484,12
A04697,12
A10635,12
A12677,12
A00413,12
A00636,12
A07627,12
A02403,12
A10875,12
A06430,12
A10870,12
A03020,12
A01677,12
A10118,12
A07399,12
A03102,12
A07465,12
A04101,12
A03094,12
A08763,12
A08279,12
A06394,12
A07265,12
A07581,12
A07946,12
A05645,12
A07760,12
A07854,12
A11494,12
A09856,12
A02293,12
A08888,12
A08216,12
A02916,12
A08720,12
A02402,12
A10608,12
A07917,12
A10720,12
A13162,12
A03808,12
A02543,12
A00594,12
A07020,12
A07560,12
A06376,12
A07595,12
A04135,12
A03198,12
A10911,12
A07912,12
A05145,12
A07772,12
A01095,12
A06049,12
A09095,12
A01583,12
A01153,12
A07994,12
A11098,12
A11189,12
A11220,12
A10694,12
A02966,12
A08969,12
A02634,12
A05269,12
A11186,12
A01925,12
A01239,12
A04345,12
A03792,12
A06650,12
A05108,12
A10745,12
A05069,12
A05409,12
A06469,12
A08802,12
A09801,12
A11371,12
A08668,12
A12403,12
A10098,12
A09392,12
A13164,12
A06563,12
A06910,12
A01640,12
A02243,12
A08354,12
A11885,12
A11225,11
A10969,11
A06712,11
A02785,11
A05341,11
A05983,11
A09301,11
A09969,11
A08957,11
A12869,11
A09928,11
A11317,11
A10482,11
A06893,11
A10406,11
A12891,11
A13724,11
A05015,11
A11960,11
A00654,11
A03130,11
A05998,11
A04068,11
A02255,11
A10733,11
A04305,11
A11345,11
A09066,11
A09896,11
A12213,11
A07906,11
